Complexity,Loss,Equation
1,0.06671410012301462,"0.5902277970819467"
3,0.058365475274449186,"cos(cos(x1))"
5,0.0534934437646295,"cos(cos(x1 * x2))"
7,0.051666796587545936,"cos(cos(x1 + (x2 + -0.7824135801789691)))"
8,0.05053368298344776,"cos(cos(cos((x1 - -10.290866455805977) + x2)))"
11,0.04887690363456756,"cos(cos((x2 + x1) - cos(cos(x2)))) + -0.05794384839253256"
14,0.04743024919800752,"cos(cos((x2 + (cos(x3) + x1)) + -1.5957983893437633) * 1.0351795132051207) * 0.9191923989364381"
15,0.04527675613336621,"cos(cos((x2 + x1) - cos(cos(0.9979400744694324 - (x2 + x1))))) + -0.05794384839253256"
19,0.044629849459173046,"cos(cos((x2 + x1) - cos(cos(cos(cos(x3) * 2.3622933604189601e-7) - (x2 + x1))))) + -0.08331295459304701"
