Complexity,Loss,Equation
1,6.035025085603236e-7,"0.00014743258335134408"
3,5.995961707661511e-7,"(x43 * 0.000392717527551191)"
5,4.324271100623297e-7,"((x44 * 0.0032561676579145604) - -0.001592477639196739)"
7,2.1444900052499935e-7,"(((x36 * 0.015352267480288255) + -0.0043298433519860305) * x45)"
9,1.5859099510127957e-7,"((((x36 * 0.0071361867729590476) / x28) - 0.005006976825569595) * x42)"
13,9.954873659124773e-8,"(((x42 * ((x16 * x7) + (x6 + x41))) * 0.07236019265988068) * x15)"
17,8.356453847424918e-8,"((((x36 * x42) * ((((x38 - x16) + x42) * x7) + x6)) * 0.07236019265988068) * x15)"
19,7.497950411040659e-8,"((((x42 * x42) * ((((x38 - (x16 * 1.196727229640667)) + x42) * x7) + x6)) * 0.07236019265988068) * x15)"
