Complexity,Loss,Equation
1,1.7625496075595834e-8,"3.1933887500000087e-5"
3,1.1240068302064608e-8,"(x2 * 0.000742195082570519)"
5,1.0259065929002438e-8,"((x12 * 0.0004840551998332868) - -0.00018623532618425298)"
9,1.0011347015301138e-8,"(((x12 * -0.0025818854864081194) * (x3 * x18)) - -0.00020774691857345295)"
15,9.595109505610162e-9,"(((((x5 / x24) + 0.2664379932675702) * 0.0007662234513925868) * ((x24 + x24) + 0.7198681587081411)) * -0.9373083098527418)"
17,9.343976691787476e-9,"(((((x5 / x24) + (x20 - 0.2664379932675702)) * 0.0007662234513925868) * ((x24 + x24) + 0.7198681587081411)) * -0.9373083098527418)"
19,9.33615106667019e-9,"((((((x5 * 0.9559476732934007) / x24) + (x24 - 0.2664379932675702)) * 0.0007662234513925868) * ((x24 + x24) + 0.7198681587081411)) / -0.9373083098527418)"
