Complexity,Loss,Equation
1,1.7625496075595828e-8,"3.193388746139392e-5"
3,1.124006830206461e-8,"(x2 * 0.0007421950825704438)"
5,1.025906592900244e-8,"(0.00018623532618533144 - (x12 * -0.00048405519983646134))"
7,1.007147681416965e-8,"(((x2 + x29) * -0.0010685757677361685) + 0.000674376016161729)"
9,9.747181295960175e-9,"(((x2 - x18) * -0.0010685757677361685) + (0.000674376016161729 / 1.5845316406550094))"
17,9.304590013103761e-9,"((0.0005148141462591186 / x20) / ((((x8 / -0.3972959150411299) / x3) * x8) / ((x20 - -0.359820451245845) * 1.1412484865106574)))"
19,9.304584253698173e-9,"((0.0005148141462591186 / x20) / (((((x8 / -0.3972959150411299) / x3) - 3.7513059666128725e-5) * x8) / ((x20 - -0.359820451245845) * 1.1412484865106574)))"
