Complexity,Loss,Equation
1,1.7625496075595824e-8,"3.193388943049241e-5"
3,1.1240068302064602e-8,"(x2 * 0.0007421950825700603)"
5,1.0259065929002442e-8,"((x4 * 0.0004840552019588773) + 0.00018623532711081747)"
7,1.0117660441026912e-8,"((-0.0001463447343980096 / x30) - (0.0002352126823887966 / x11))"
13,1.0011347020528786e-8,"(((((x24 * -0.004696216095028514) * x29) * (x10 * 0.549772409387542)) - -0.14732993149171028) + -0.1471221850396197)"
15,9.914469653303315e-9,"((-7.663462939645478e-6 / ((x27 / 0.09157484111422982) * ((x8 - -0.4655189423523151) + (-0.6860044239071305 + -0.2844605138168513)))) * x18)"
17,8.246772895955138e-9,"((-7.663462939645478e-6 / (((x27 * x26) / 0.09157484111422982) * ((x8 - -0.4655189423523151) + (-0.6860044239071305 + -0.2844605138168513)))) * x18)"
