Complexity,Loss,Equation
1,1.7625496075595828e-8,"3.1933887499999856e-5"
3,1.1240068302064605e-8,"(x2 * 0.0007421950825704288)"
5,1.0259065929002442e-8,"((x16 * 0.000484055214595408) + 0.00018623533123043184)"
7,1.0197750499822563e-8,"(((x16 - x1) * 0.000484055214595408) + 0.00018623533123043184)"
9,9.80936256334995e-9,"((x15 / x8) * ((x30 - -0.3661254484601375) * -0.000825147893575452))"
11,8.28420662544569e-9,"((x15 * (x15 / ((x30 + -0.5052138192846909) * x10))) * 8.492353942366167e-6)"
15,6.945703514348447e-9,"((((-0.3990442597195662 * x17) + x5) * (x12 / ((x30 + -0.5052138192846909) * x27))) * 8.492353942366167e-6)"
17,6.8045133674879026e-9,"(((((x10 * x17) + x5) * (x13 / ((x30 + -0.5052138192846909) * x10))) + 0.7805778621890559) * 8.492353942366167e-6)"
