Complexity,Loss,Equation
1,7.320076544623111e-11,"2.5823579974951216e-5"
3,6.680030487935358e-11,"(x21 * 4.367470958613432e-5)"
5,6.756927118346223e-14,"((x6 * 0.000448156611701625) - -0.00018667689769913398)"
7,6.756927110434107e-14,"(((x18 + x4) * 0.0002240776808720285) + 0.0001866764493452036)"
9,2.0793716010272732e-14,"(((x1 - (-0.059684936272946014 - x16)) * 0.00030700896469588486) - 6.468209111166388e-5)"
11,1.4972763555419923e-14,"(((((x1 + -1.1876361066595629) * 0.0007242851487516654) * x26) * -0.820052748676371) + 0.0001524673339681891)"
17,1.3826555932666454e-14,"((x25 * (((x25 - ((x28 * (x30 + x16)) + x1)) * 0.0003869840521737635) + 0.0003617912026265555)) - 0.00012978849140856796)"
19,1.2273906491965582e-14,"((x29 * (((x25 - ((x22 * ((x30 * 0.5615391922254285) + x24)) + x25)) * 0.000453453480816792) + 0.0004131591158657123)) - 0.00016535102184791133)"
