Complexity,Loss,Equation
1,0.0022853241474467476,"-0.27384355598928745"
3,0.0016506621517084477,"(0.1358895823207922 - x16)"
5,0.0003584159194860738,"(-0.4172661584404525 - (x23 + x33))"
7,0.00034082161338274986,"(-0.43184225265154963 - ((x20 * 1.0330561607943614) + x3))"
9,0.0002864184788511307,"(((x21 - 1.1231280537837205) * (x21 + x20)) - 0.38989739609699964)"
11,0.00022721898491446233,"(((x40 - x27) * (0.5281722530287581 - (x44 + 0.2494286506335604))) - 0.3395122287459442)"
15,0.0002180343557060931,"(((x21 - ((x29 * 1.4414845688585234) + -0.6976173504187406)) * ((x40 - x27) * x7)) - 0.33373252656136576)"
17,0.000211899930958188,"(((((x36 + 0.7637185540471113) - (x11 * x43)) - x32) * ((x43 - x27) * x43)) - 0.33531806458525776)"
19,0.00020905729063435454,"(((((0.7627557591842503 - x15) - (x11 + (x15 * -1.382882597266582))) - x11) * ((x43 - x15) * x43)) - 0.3385960173785141)"
