Complexity,Loss,Equation
1,6.035025085603245e-7,"0.00014743258346033503"
3,5.995961707661541e-7,"(x43 * 0.0003927175297780147)"
5,4.3242711006233e-7,"((x38 * 0.0032561677068483202) + 0.0015924776592211726)"
7,9.519394117664184e-8,"(((x27 + x41) * 0.016061276363593485) - -0.002615444159012098)"
9,4.735556435820299e-8,"((((x33 + 1.1823526793521024) * x27) + x29) * 0.011863777774666342)"
15,3.388175455572738e-8,"((((((x39 - x40) + (1.1823526793521024 - 0.011863777774666342)) - -0.43609957093079105) * x27) + x14) * 0.011863777774666342)"
19,3.095819343322926e-8,"((((((((-0.02360294920697211 + x33) - x40) + (1.1823526793521024 - x40)) + x40) - -0.43609957093079105) * x27) + x14) * 0.011863777774666342)"
