Complexity,Loss,Equation
1,2.4373152649722324e-11,"1.4966983333333419e-5"
3,2.227231730982066e-11,"(x25 * 2.5310534225568906e-5)"
5,9.636850630124637e-13,"(-0.0003116036192756799 - (x1 * -0.0005497494143062442))"
7,9.636841131223065e-13,"(((-0.1513880540293719 - x25) * -0.0005498779360324889) - 0.00039492485843552313)"
13,9.478065223998026e-13,"(((x12 + x24) - x28) * ((x29 * (x1 * -0.0015337277356228581)) - -0.0004987781133055401))"
17,3.408860334652878e-13,"((x21 + x21) * (((x21 - x2) + (-0.0009061758976109807 - (x22 * -0.9995990496416675))) + (x15 * -0.9986956893771368)))"
