Complexity,Loss,Equation
1,2.1145375810376346e-6,"0.00015209364921417445"
3,1.934712406664378e-6,"(x9 * 0.0013625163910406712)"
5,1.9116321115658982e-6,"((0.11109116320201738 - x9) * -0.0016856718227652638)"
7,1.8390207781894526e-6,"((x7 * (x18 + x21)) * 0.011684818480244101)"
9,1.8004395934962079e-6,"(((0.024836580857447423 / 1.4316041276693272) * (x16 + x23)) * x7)"
11,1.7564097132766975e-6,"(((((x19 + x12) / 0.4144677852332494) + -0.26202212674477443) + x11) * 0.0013382230069799066)"
13,1.5115417737115355e-6,"((((((x19 + x12) / 0.4144677852332494) + -0.26202212674477443) / 0.22750166911158823) + x11) * 0.0013382230069799066)"
19,1.4214559355406389e-6,"(((((((((x16 + x19) * -1.403073579471472) / -0.44843251521687066) / 0.3238805434961421) + -0.8467051792122381) + x17) * 0.5156264181335692) * 0.0013382230069799066) / 0.3238805434961421)"
