Complexity,Loss,Equation
1,7.320076544442725e-11,"2.5823537499999983e-5"
3,6.680030487935345e-11,"(x13 * 4.36747095842213e-5)"
5,6.756927102054823e-14,"((x16 * 0.00044815566685454944) - -0.00018667655738497518)"
7,2.07910736826268e-14,"(((x18 + x7) * 0.00030706986950065907) - 4.6372628455110254e-5)"
11,2.0791068791178262e-14,"(((((x22 + 0.00032453152504080535) - -0.3513262194444124) + x1) * 0.00030706736131428313) + -0.00015435251353736974)"
13,1.2417917044802718e-14,"(((x18 * ((-0.012674836067125944 - x29) - (x11 - 1.8615846687872146))) * 0.0004559046289763503) - -0.00013411072452810182)"
