Complexity,Loss,Equation
1,1.7625496075595824e-8,"3.193388749999886e-5"
3,1.1240068302064603e-8,"(x2 * 0.0007421950825704323)"
5,1.025906592900244e-8,"((x20 * 0.00048405519696900767) + 0.00018623532519411803)"
7,1.019365690190643e-8,"(((x8 * x2) * 0.0014140006886656457) - -2.636599148769232e-5)"
9,1.0193656900204608e-8,"((((x4 * x2) * 0.0014139826788853004) + 4.1431601270565154e-5) - 1.5066243240290243e-5)"
11,9.535881854874186e-9,"(((((x4 * x2) * -0.0074334121766473525) + 0.001779853773006402) * x8) - -0.0006701055383985551)"
15,9.190245981438339e-9,"(((((0.1367768476891929 - (x24 / x25)) + -1.6044675258384384) * -0.0016105275426182006) + -0.0005453453114098623) - (x20 * -0.0023595736222588918))"
19,9.190245981438337e-9,"(((((0.1367768476891929 - (x24 / x25)) + -1.6044675258384384) * -0.0016105275426182006) + -0.0005453453114098623) - ((x20 * (-0.0023595736222588918 * x13)) / x27))"
