Complexity,Loss,Equation
1,0.002285324147446745,"-0.2738435559852744"
3,0.0016506642449418396,"(0.13588963726254508 - x28)"
5,0.0005007401514958034,"((0.05541171983025912 / x24) - 0.4498962332865474)"
7,0.00032601072277700324,"((x9 * -0.9413553251105842) - (x17 + 0.4347145858994523))"
9,0.000299734657850126,"(((x42 - -0.13520809025530262) * (x37 - x6)) - 0.31109675091366334)"
11,0.00026644470391046476,"(((((x40 * 1.4566422219189321) * x40) - x9) * x21) - 0.24645056032467133)"
13,0.00024152228643449462,"(((x38 + -0.13259431639754174) * ((x3 + (0.2084481979906232 / 1.5983058465019473)) - x40)) - 0.24645056032467133)"
17,0.00023496830080408157,"(((x23 + -0.13259431639754174) * ((x3 + (0.2084481979906232 / ((1.5983058465019473 / 1.3924799403798633) + x34))) - x40)) - 0.24645056032467133)"
19,0.00023400342290538353,"((((0.10857282797463018 * ((x38 * x19) - 1.5983058465019473)) + x38) * ((x3 + (0.2084481979906232 / 1.5983058465019473)) - x40)) - 0.24645056032467133)"
