Complexity,Loss,Equation
1,6.035025085603228e-7,"0.00014743258335016534"
3,5.995961707661528e-7,"(x37 * 0.00039271752977779157)"
5,2.863547132744624e-7,"((-0.0007385438541297716 / x3) + 0.0024938739146552298)"
7,8.187695271050224e-8,"(((x29 + x45) * 0.016276823909203306) + 0.0024847351540636005)"
17,5.6681575140224906e-8,"((((((x15 * x15) + x15) - x4) * -0.0028828485504584023) / x41) * ((x45 / 1.185832140301146) + 1.18583264998698))"
19,5.1362922363944424e-8,"((((((x9 * x15) + x15) - x40) * (-0.03812625395731265 - -0.03548571247853511)) / x41) * (1.3752585621028457 + (x15 * 0.9725128312559005)))"
