Complexity,Loss,Equation
1,3.7712549898561735e-7,"6.570260833333991e-5"
3,2.0712546875417026e-7,"(x5 * -0.1977726612797308)"
5,7.544432864724462e-8,"((x5 * -0.38748569615323153) + -0.0005404442069490449)"
7,7.202106365149384e-8,"(((-0.3601503544839655 - x30) * x1) - 0.0004910703143708461)"
9,7.136558819319872e-8,"(((-0.3601503544839655 - (x30 + x25)) * x1) - 0.0004910703143708461)"
11,7.097438801644986e-8,"((((-0.3601503544839655 - (x30 + x25)) * x1) * 1.0340045649490959) - 0.0004910703143708461)"
