Complexity,Loss,Equation
1,3.771254989856176e-7,"6.570260833326132e-5"
3,2.0712546875416756e-7,"(x5 * -0.1977726919377234)"
5,7.5446016719082e-8,"((x5 + 0.0013951343689128897) * -0.3883727481816344)"
7,7.243803586405353e-8,"((x5 + 0.0013951343689128897) * (-0.3883727481816344 - x26))"
9,7.128854207528719e-8,"((x5 + 0.0013951343689128897) * ((-0.3883727481816344 - x17) - x26))"
11,7.065921671785718e-8,"((x5 + 0.0013951343689128897) * ((-0.3883727481816344 - x17) - (x26 + x19)))"
13,7.025091896772427e-8,"((x5 + 0.0013951343689128897) * ((-0.3883727481816344 - x17) - ((x26 + x19) / 0.7310202883729595)))"
15,6.980333141451172e-8,"((x5 + 0.0013951343689128897) * (((-0.3883727481816344 - x17) - x17) - ((x26 + x19) / 0.7310202883729595)))"
19,6.958443378907906e-8,"((x5 + 0.0013971049247232137) * (((-0.3883727575031691 - (x9 + x9)) - ((x28 + x28) * x28)) - (x28 + x9)))"
