Complexity,Loss,Equation
1,1.7625496075595828e-8,"3.1933887500005555e-5"
3,1.1240068302064607e-8,"(x2 * 0.0007421950825703637)"
5,1.0259065929002442e-8,"((x18 * 0.0004840551997822261) - -0.0001862353261648502)"
7,1.0091530729336342e-8,"((-0.0011247465180782147 / (x28 + 1.4913730439744834)) + 0.0010042377000037605)"
9,9.868756760265159e-9,"((((x2 * x7) * 1.762907132032936) * -0.0012825007003355855) + 4.593538719585812e-5)"
11,9.864058460390296e-9,"(((((x2 * x7) / 1.0262379091996185) * 1.762907132032936) * -0.0012825007003355855) + 4.593538719585812e-5)"
13,9.86357888576612e-9,"((((((x7 / 1.3843608838714416) + x17) - -0.0009800684091991947) * x2) * -0.0012825007003355855) + 4.593538719585812e-5)"
15,9.790825963965503e-9,"(((-0.7860187510549662 - (x9 + x16)) * -0.0029336420905392187) + (((x9 * x15) + 1.0719764049842146) * -0.0020990108930467456))"
17,8.832946513407426e-9,"((x15 * ((-0.0001063303178410946 / ((x15 + (x15 + x1)) + x14)) / 1.805663414252552)) * (x20 + x15))"
